slug,title,description,details,imgUrl,price,discount,mrp,isMember,isAuthDealer,isFeaturedMember,membershipLevel,shopName,isDoorstepDelivery,isDeliveryFree,isTopAd,isUrgentAd,timeStamp,category,isVerified,isJobAd,location,adType,isLocalJob
realme-c25s-full-box-fresh-used-for-sale-mymensingh-1,Realme C25s Full Box Fresh (Used),"Mymensingh, Mobile Phones",,https://i.bikroy-st.com/realme-c25s-full-box-fresh-used-for-sale-mymensingh-1/16fe703d-6756-4710-a0c8-da1c9184cc4c/142/107/cropped.jpg,"Tk 12,500",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Mymensingh,for_sale,False
l-block-10-katha-plot-bashundhara-r-a-for-sale-dhaka,"|| L-Block 10 Katha Plot, Bashundhara R/A","Dhaka, Land For Sale",10.0 katha,https://i.bikroy-st.com/l-block-10-katha-plot-bashundhara-r-a-for-sale-dhaka/6c438289-34a4-4768-8117-73f0d2ab7636/142/107/cropped.jpg,"Tk 11,000,000 per katha",0,0,True,False,False,premium,Living Paradise,False,False,False,False,9 hours, Land For Sale,False,False,Dhaka,for_sale,False
oppo-f1s-4-64-new-for-sale-chattogram-27,OPPO F1s 4/64 (Used),"Chattogram, Mobile Phones",,https://i.bikroy-st.com/oppo-f1s-4-64-new-for-sale-chattogram-27/4832fb3f-81d4-4aec-87ad-61453941d697/142/107/cropped.jpg,"Tk 6,400",0,0,False,False,False,free,,False,False,False,False,bump_up, Mobile Phones,False,False,Chattogram,for_sale,False
mitsubishi-pajero-90-1990-for-sale-dhaka,Mitsubishi Pajero 90 1990,"Dhaka, Cars","190,000 km",https://i.bikroy-st.com/mitsubishi-pajero-90-1990-for-sale-dhaka/776bb7f9-b16a-470d-8342-63fbbd17a993/142/107/cropped.jpg,"Tk 350,000",0,0,False,False,False,free,,False,False,False,False,bump_up, Cars,False,False,Dhaka,for_sale,False
honda-cr-v-ex-master-2022-for-sale-dhaka-2,Honda CR-V EX-Master 2022,"Dhaka, Cars","4,417 km",https://i.bikroy-st.com/honda-cr-v-ex-master-2022-for-sale-dhaka-2/509af4ee-cf16-4474-9387-70aa2f3e597f/142/107/cropped.jpg,"Tk 6,700,000",0,0,True,False,False,plus,A.R Cars Centre,False,False,False,False,9 hours, Cars,True,False,Dhaka,for_sale,False
desktop-computer-for-sale-dhaka-12574,desktop computer,"Dhaka, Desktop Computers",,https://i.bikroy-st.com/desktop-computer-for-sale-dhaka-12574/b44c0e2f-4896-498e-bc0b-cbfe93488f9c/142/107/cropped.jpg,"Tk 20,000",0,0,False,False,False,free,,False,False,False,False,9 hours, Desktop Computers,False,False,Dhaka,for_sale,False
onek-valo-for-sale-dhaka-152,sound box,"Dhaka, Audio & Sound Systems",,https://i.bikroy-st.com/onek-valo-for-sale-dhaka-152/4529afcc-4e0b-4b8b-9d1e-d9793ba5aacb/142/107/cropped.jpg,"Tk 13,000",0,0,False,False,False,free,,False,False,False,False,9 hours, Audio & Sound Systems,False,False,Dhaka,for_sale,False
ravoz-z3-used-for-sale-dhaka-1,Ravoz Z3 (Used),"Dhaka, Mobile Phones",,https://i.bikroy-st.com/ravoz-z3-used-for-sale-dhaka-1/6b109561-9f7a-4cf7-8e11-d983d7e13343/142/107/cropped.jpg,"Tk 5,800",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Dhaka,for_sale,False
xiaomi-redmi-9t-redmi9t-6-128-used-for-sale-dhaka-10,Xiaomi Redmi 9T 6/128 (Used),"Dhaka, Mobile Phones",,https://i.bikroy-st.com/xiaomi-redmi-9t-redmi9t-6-128-used-for-sale-dhaka-10/1f919499-1332-4301-ae28-bfb7b4145e3e/142/107/cropped.jpg,"Tk 12,000",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Dhaka,for_sale,False
bikryy-kraa-hbe-for-sale-dhaka-349,Van gari,"Dhaka, Three Wheelers",,https://i.bikroy-st.com/bikryy-kraa-hbe-for-sale-dhaka-349/6ba2fdcb-bf09-4292-8bf1-3cb7ac2b3c2a/142/107/cropped.jpg,"Tk 20,500",0,0,False,False,False,free,,False,False,False,False,9 hours, Three Wheelers,False,False,Dhaka,for_sale,False
xiaomi-redmi-note-10-pro-max-6-128-used-for-sale-khulna-136,Xiaomi Redmi Note 10 Pro Max 6/128 (Used),"Khulna, Mobile Phones",,https://i.bikroy-st.com/xiaomi-redmi-note-10-pro-max-6-128-used-for-sale-khulna-136/2560fe63-6c8a-4af7-9d77-6eb2b929c980/142/107/cropped.jpg,"Tk 18,500",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Khulna,for_sale,False
huawei-nova-3i-used-for-sale-dhaka-3849,Huawei Nova 3i MOBILE (Used),"Dhaka, Mobile Phones",,https://i.bikroy-st.com/huawei-nova-3i-used-for-sale-dhaka-3849/6008fabd-b750-4322-89de-0d28eb9696b7/142/107/cropped.jpg,"Tk 8,500",0,0,False,False,False,free,,False,False,False,False,9 hours, Mobile Phones,False,False,Dhaka,for_sale,False
